timestamp,ip_address,command,not_local,offtime,has_malicious_command,is_malicious
2021-05-16 11:08:56,127.0.0.1,pwd,False,False,False,False
2022-01-03 11:00:59,127.0.0.1,touch,False,False,False,False
2020-05-06 10:53:56,127.0.0.1,traceroute,False,False,False,False
2020-05-20 10:41:23,192.168.245.245,ssh,True,False,True,True
2020-04-22 20:32:09,127.0.0.1,pwd,False,True,False,False
2022-01-23 07:56:41,127.0.0.1,ping,False,True,False,False
2021-09-21 22:06:15,192.168.138.16,pwd,True,True,False,True
2021-04-22 03:55:33,192.168.239.57,traceroute,True,True,False,True
2020-12-18 12:48:59,127.0.0.1,ls,False,False,False,False
2021-06-30 06:16:00,127.0.0.1,ls,False,True,False,False
2020-03-04 11:39:19,127.0.0.1,pwd,False,False,False,False
2021-08-08 21:12:17,192.168.150.39,pwd,True,True,False,True
2020-09-22 01:53:04,127.0.0.1,ping,False,True,False,False
2022-02-20 09:40:18,127.0.0.1,awk,False,False,False,False
2020-03-01 02:54:10,127.0.0.1,mv,False,True,False,False
2020-09-14 03:04:10,192.168.2.250,wget,True,True,True,True
2021-10-21 15:19:50,127.0.0.1,cd,False,False,False,False
2021-06-03 03:49:35,127.0.0.1,scp,False,True,True,True
2021-05-19 11:39:25,192.168.189.29,mkdir,True,False,False,False
2021-10-10 15:37:32,192.168.187.112,sudo pwd,True,False,False,False
2020-08-01 06:38:16,127.0.0.1,sudo cd,False,True,False,False
2020-06-15 03:40:27,192.168.111.203,pwd,True,True,False,True
2021-07-09 06:40:08,192.168.135.163,top,True,True,False,True
2020-12-21 23:11:32,192.168.254.197,cd,True,True,False,True
2021-08-24 08:59:40,192.168.179.108,sudo cat,True,True,False,True
2021-05-21 17:24:28,192.168.238.79,mkdir,True,False,False,False
2020-08-23 23:21:13,192.168.45.224,pwd,True,True,False,True
2020-10-25 07:40:01,192.168.138.118,sudo touch,True,True,False,True
2020-12-31 00:40:02,127.0.0.1,curl,False,True,True,True
2021-07-20 03:08:29,192.168.38.27,traceroute,True,True,False,True
2021-10-20 16:30:44,127.0.0.1,awk,False,False,False,False
2020-02-22 03:55:36,127.0.0.1,touch,False,True,False,False
2020-06-19 19:21:46,192.168.79.68,mkdir,True,True,False,True
2020-03-25 00:39:32,192.168.7.235,curl,True,True,True,True
2021-01-17 00:08:48,192.168.83.103,curl,True,True,True,True
2020-08-27 04:15:32,192.168.229.177,ls,True,True,False,True
2020-11-20 13:06:13,127.0.0.1,mkdir,False,False,False,False
